identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	relation.issn	relation.journalzdbid	relation.serieszdbid	contributor.author	contributor.editor	contributor.other	identifier	identifier.pi	rights.license	publisher	language.iso	subject.jel	description.version	relation.ispartofseries	relation.seriesppn	relation.ispartofjournal	relation.journalppn	relation.ispartofbook	relation.bookppn	econstor.citation.volume	econstor.citation.issue	econstor.citation.articlenumber	econstor.citation.startpage	econstor.citation.endpage	url	collection_handle	identifier.packageid	filepath	description.abstract	subject.ddc	subject.keyword
1828232513	m	2022	"Carbon bias in index investing"							"Cosemans, Mathijs|Schoenmaker, Dirk"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar industry seriesDesign paper"	(DE-627)1777398665|(DE-600)3100833-1										https://www.netspar.nl//assets/uploads/Netspar-Design-Paper-218-WEB.pdf|https://www.netspar.nl/en/publication/carbon-bias-in-index-investing/	11159/17					
1828215767	m	2022	"Does high-speed internet boost exporting?"							"Sanderson, Lynda|Wright-McNaughton, Garrick|Yashiro, Naomitsu"					https://creativecommons.org/licenses/by/4.0/	"Wellington, New Zealand : Productivity Commission"	eng			"Working paper$nNew Zealand Productivity Commission"	(DE-627)1777512042|(DE-600)3101018-0										https://www.productivity.govt.nz/assets/Documents/High-speed-internet-and-exporting-Final-WP.pdf|https://www.productivity.govt.nz/research/does-high-speed-internet-boost-exporting/	11159/17					
1828214043	m	2022	"Natural gas in the U.S. Southeast power sector under deep decarbonization : modeling technology and policy sensitivities"							"Schwartz, Aaron|Morris, Jack|Mallapragada, Dharik"						"Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research"	eng			"Working paper series / MIT Center for Energy and Environmental Policy Research"	(DE-627)1757631569|(DE-600)3063811-2										https://ceepr.mit.edu/wp-content/uploads/2022/11/2022-018.pdf|https://ceepr.mit.edu/workingpaper/natural-gas-in-the-u-s-southeast-power-sector-under-deep-decarbonization-modeling-technology-and-policy-sensitivities/	11159/17					
1828213136	m	2022	"Regret and asset pricing"							"Goossens, Jorgo"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/P20221107_DP037_Goossens.pdf|https://www.netspar.nl/publicatie/regret-and-asset-pricing/	11159/17					
1828212989	m	2022	"Optimal retirement with disability pensions"							"Fehr, Hans|Fröhlich, Adrian"						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	eng			"Netspar academic seriesDP"	(DE-627)1745936882|(DE-600)3051979-2										https://www.netspar.nl//assets/uploads/P20221215_DP038_Fehr.pdf|https://www.netspar.nl/publicatie/optimal-retirement-with-disability-pensions/	11159/17					
1828156132	m	2022	"Intergenerational sharing of unhedgeable inflation risk"						2435220-2	"Chen, Damiaan H. J.|Beetsma, Roel|Wijnbergen, Sweder van"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng		"This version: November 16, 2022"	"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/hanh3zmf/working_paper_no-758.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/758-intergenerational-sharing-of-unhedgeable-inflation-risk/	11159/17					
1828155624	m	2022	"Nowcasting GDP using machine learning methods"						2435220-2	"Kant, Dennis|Pick, Andreas|Winter, Jasper de"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/kq4pe4cr/working_paper_no_754.pdf|https://www.dnb.nl/en/publications/research-publications/working-paper-2022/754-nowcasting-gdp-using-machine-learning-methods/	11159/17					
1827859040	m	2022	"Indian state-level policy responses to COVID-19 during the second wave"							"Nagesh, Radhika|Nataraj, Manikantha|Kumar, Himangshu|Hale, Thomas|Petherick, Anna|Phillips, Toby"				10.1038/s41562-021-01079-8		"[Oxford] : Blavatnik School of Government, University of Oxford"	eng			"BSG working paper series"	(DE-627)1787931064|(DE-600)3108116-2										https://www.bsg.ox.ac.uk/sites/default/files/2022-12/BSG-WP-2022-049%20Indian%20state-level%20policy%20responses.pdf|https://www.bsg.ox.ac.uk/research/publications/indian-state-level-policy-responses-covid-19-during-second-wave|https://doi.org/10.1038/s41562-021-01079-8	11159/17					
1826824200	m	2022	"Cover crop practices in Iowa 2015-2020"							"Singh, Sriramjee|Plastina, Alejandro|Arbuckle, J."						"Ames, Iowa : [Center for Agricultural and Rural Development, Iowa State University]"	eng			"Staff report / Center for Agricultural and Rural Development, Iowa State University"	(DE-627)1805832999|(DE-600)3121003-X										https://www.card.iastate.edu/products/publications/pdf/22sr119.pdf|https://www.card.iastate.edu/products/publications/synopsis/?p=1359	11159/17					
1826822933	m	2022	"European Union’s emissions trading system and productivity : firmlevel evidence for France, Italy and Spain"						2265578-5	"Alla, Ariane"						"[Paris] : Direction générale du Trésor"	eng			"Documents de travail / Direction générale du Trésor"	(DE-627)522298702|(DE-576)281330743|(DE-600)2265578-5										https://www.tresor.economie.gouv.fr/Articles/9cef08f7-c955-4f49-9488-d48dadcf04a0/files/863ae934-2b63-4a05-bb11-30821b2e22f8|https://www.tresor.economie.gouv.fr/Articles/2022/09/21/european-union-s-emissions-trading-system-and-productivity-firm-level-evidence-for-france-italy-and-spain-1	11159/17					
1826821953	m	2022	"The rebalancing channel of QE : new evidence at the security level in the euro area"						2435220-2	"Hudepohl, Tom"						"Amsterdam, The Netherlands : De Nederlandsche Bank NV"	eng			"DNB working paper"	(DE-627)571607012|(DE-576)283869348|(DE-600)2435220-2										https://www.dnb.nl/media/3aopvzwf/working_paper_no_756.pdf	11159/17					
1826766855	m	2022	"Sorgsame Landwirtschaft : resiliente Praktiken im ökologischen Landbau"			9783839448984				"Heistinger, Andrea|Kosnik, Elisabeth|Sorgo, Gabriele"				10.14361/9783839448984	https://creativecommons.org/licenses/by-nc-nd/4.0/	"Bielefeld : transcript"	ger			"Neue Ökologie"											https://library.oapen.org/bitstream/handle/20.500.12657/53552/9783839448984.pdf|https://doi.org/10.14361/9783839448984	11159/17					
1826727957	m	2022	"Möglichkeiten und Grenzen einer klimaschutzorientierten Konjunkturpolitik"							"Duijm, Bernhard"						"Stuttgart, Deutschland : Prof. Dr. Ute Reuter, Prof. Dr.-Ing. Tobias Loose"	ger			"Forschungspapiere und Fallstudien der VWA Hochschule für Berufsbegleitendes Studium"	(DE-627)102058324X|(DE-576)504238809|(DE-600)2929004-1										https://www.vwa-hochschule.de/files/content/hochschule/downloads/professoren-publikationen-vortrage/duijm/Vol_5_2022-02_Duijm_gesamt.pdf	11159/17					
1826727302	m	2022	"Het pensioenperspectief van basisbanen"							"Wilthagen, Ton|Kluit, Zeger|Visser, Michael S."						"[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement"	dut			"Netspar industry seriesDesign paper"	(DE-627)1777398665|(DE-600)3100833-1										https://www.netspar.nl//assets/uploads/P20221129_Netspar-Design-Paper-217-WEB.pdf|https://www.netspar.nl/publicatie/het-pensioenperspectief-van-basisbanen/	11159/17					
1826726381	m	2022	"TARGET2 analytical tools for regulatory compliance"							"Glowka, Marc|Müller, Alexander|Polo Friz, Livia|Testi, Sara|Valentini, Massimo|Vespucci, Stefano"						"Rome, Italy : Banca d'Italia"	eng			"Markets, infrastructures, payment systemsInstitutional issues"	(DE-627)1749134608|(DE-600)3054776-3										https://www.bancaditalia.it/pubblicazioni/mercati-infrastrutture-e-sistemi-di-pagamento/questioni-istituzionali/2022-029/N.29-MISP.pdf?language_id=1|https://www.bancaditalia.it/pubblicazioni/mercati-infrastrutture-e-sistemi-di-pagamento/questioni-istituzionali/2022-029/index.html	11159/17					
182666338X	m	2022	"When multinational companies come : a CGE analysis on the impact of growing inward FDI on the Indian economy"						2151597-9	"Yuan, Wen Jin|Tsigas, Marinos E."						"Washington, DC : U.S. International Trade Commission"	eng			"Economics working paper series / U.S. International Trade Commission"	(DE-627)390563358|(DE-576)281254176|(DE-600)2151597-9										https://www.usitc.gov/publications/332/working_papers/2022_gtap_fdi_india_marinos_jean_11212022_wmp.pdf	11159/17					
1826662669	m	2022	"Carbon abatement costs for hydrogen fuels in hard-to-abate transport sectors and potential climate policy mixes"							"Martin, Jonas|Dimanchev, Emil|Neumann, Anne"						"Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research"	eng			"Working paper series / MIT Center for Energy and Environmental Policy Research"	(DE-627)1757631569|(DE-600)3063811-2										https://ceepr.mit.edu/wp-content/uploads/2022/11/2022-017.pdf|https://ceepr.mit.edu/workingpaper/carbon-abatement-costs-for-hydrogen-fuels-in-hard-to-abate-transport-sectors-and-potential-climate-policy-mixes/	11159/17					
1826661964	m	2022	"Two-stage stochastic one-to-many driver matching for ridesharing"							"Homsi, Gabriel|Gendron, Bernard|Jena, Sanjay Dominik"						"Montréal (Québec) : Bureau de Montreal, Université de Montreal"	eng			CIRRELT	(DE-627)1685877397|(DE-600)3003614-8										https://www.cirrelt.ca/documentstravail/cirrelt-2022-36.pdf	11159/17					
