identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url					description.abstract	subject.ddc	subject.keyword
1782638237	m	2021	Reclaiming the relational ontology of the fiduciary and exploring relational ethics				Mussell, Helen				Cambridge : Centre for Business Research, University of Cambridge	eng			Working paper / Centre for Business Research, University of Cambridge	(DE-627)1735209996			https://www.cbr.cam.ac.uk/wp-content/uploads/2021/12/wp534.pdf							
1782638156	m	2021	Exploring epistemic vices in the fiduciary: injustice and beyond				Mussell, Helen				Cambridge : Centre for Business Research, University of Cambridge	eng			Working paper / Centre for Business Research, University of Cambridge	(DE-627)1735209996			https://www.cbr.cam.ac.uk/wp-content/uploads/2021/12/wp533.pdf							
1782637605	m	2021	Adaptive simultaneous stochastic optimization of a gold mining complex: a case study				Levinson, Zachary	Dimitrakopoulos, Roussos			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-13/view							
1782637451	m	2021	Batched second-order adjoint sensitivity for reduced space methods				Pacaud, François	Schanen, Michel|Maldonado, Daniel Adrian|Montoison, Alexis|Churavy, Valentin|Samaroo, Julian|Anitescu, Mihai			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-56/view							
178263729X	m	2021	A derivative-free approach to optimal control problems with a piecewise constant Mayer cost function				Audet, Charles	Bouchet, Pierre-Yves|Bourdin, Loic			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-63/view							
1782637133	m	2021	DCISolver.jl: a Julia solver for nonlinear optimization using dynamic control of infeasibility				Migot, Tangi	Orban, Dominique|Siqueira, Abel S.			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-67/view							
1782637044	m	2021	Local cold load pick-up estimation using time-stamped measurements				Bajic, Sanja	Bouffard, François|Mishalska, Hannah|Joós, Géza			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-68/view							
1782636897	m	2021	Data-driven sustainable distributed energy resources' control based on multi-agent deep reinforcement learning				Jendoubi, Imen	Bouffard, François			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-69/view							
178258806X	m	2021	Analyse de la vulnérabilité des approvisionnements français				Aubert, Alban	Bonneau, Christophe|Faquet, Romain|Hida, Clarisse			[Paris] : Trésor Direction Générale	fre			Documents de travail$ / Direction générale du Trésor	(DE-627)1735209996			https://www.tresor.economie.gouv.fr/Articles/81401c15-2d25-49be-a15a-1cf9b39a6963/files/48bbd4fc-8309-4278-938b-7a31a2451b69							
1782585885	m	2021	Price diffusion across international private commercial real estate markets				Zhu, Bing	Dijk, Dorinth van|Lizieri, Colin			Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/eqrbxyqk/working_paper_no-_732.pdf							
1782581626	m	2021	Economic trends and outlook: in recovery but more challenges ahead				McDonnell, Tom				Dublin, Ireland : Nevin Economic Research Institute	eng			NERI report series	(DE-627)1735209996			https://www.nerinstitute.net/sites/default/files/2021-12/Economic%20Trends%20and%20Outlook%20-%20NERI%20Report%20Series%20no%2012%20Dec%2021.pdf							
1782580816	m	2021	Crowdshipping: an open VRP variant with stochastic destinations				Torres, Fabian	Genreau, Michel|Rei, Walter			Montréal (Québec) : Bureau de Montreal, Université de Montreal	eng			CIRRELT	(DE-627)1735209996			https://www.cirrelt.ca/documentstravail/cirrelt-2021-46.pdf							
1782245995	m	2021	Digitalization, innovation and productivity in South African micro and small enterprises				Gaglio, Cyrielle	Kraemer-Mbula, Erika|Lorenz, Edward H.			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-28.pdf							
1782245138	m	2021	The fallacy in productivity decomposition				Bruhn, Simon	Grebel, Thomas|Nesta, Lionel			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-27.pdf							
1782244611	m	2021	Vers une réforme des règles budgétaires dans la Zone Euro ?				Mathieu, Catherine	Sterdyniak, Henri			Paris, France : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-26.pdf							
1782244220	m	2021	Des parasites au paradis ? : revenu universel, minima sociaux et réciprocité				Allègre, Guillaume				Paris, France : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-25.pdf							
1782243666	m	2021	Monetary-fiscal crosswinds in the European Monetary Union				Reichlin, Lucrezia	Ricco, Giovanni|Tarbé, Matthieu			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-23.pdf							
1780634811	m	2021	The value of nuclear microreactors in providing heat and electricity to Alaskan communities				Macdonald, Ruaridh	Parsons, John E.			Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research	eng			Working paper series / MIT Center for Energy and Environmental Policy Research	(DE-627)1735209996			https://ceepr.mit.edu/wp-content/uploads/2021/11/2021-018.pdf							
1780633718	m	2021	The University pension scheme - a way forward				Miles, David	Stefton, James			London : National Institute of Economic and Social Research	eng			NIESR policy paper	(DE-627)1735209996			https://www.niesr.ac.uk/wp-content/uploads/2021/11/NIESR-Policy-Paper-The-University-pension-scheme-%E2%80%93-a-way-forward_0.pdf							
1780632851	m	2021	Modèles de microsimulation des impôts liés au patrimoine des ménages				Veillon, Paul-Armand				[Paris] : Trésor Direction Générale	fre			Documents de travail$ / Direction générale du Trésor	(DE-627)1735209996			https://www.tresor.economie.gouv.fr/Articles/3c47cb70-d0bf-46c7-b159-c5d710f4d3bb/files/01908fa8-153b-4c87-abb1-639a7782a28f							
1780632053	m	2021	GPMR: an iterative method for unsymmetric partitioned linear systems				Montoison, Alexis	Orban, Dominic			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-62/view							
1780631871	m	2021	Large satellite constellations and space debris: exploratory analysis of strategic management of the space commons				Bernhard, Pierre	Deschamps, Marc|Zaccour, Georges			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-64/view							
178063160X	m	2021	A note on leading mergers with free entry				Ishino, Yoshitaka	Tomaru, Yoshihiro			[Nagoya, Japan] : [Institute of Economics, Chukyo University]	eng			Chukyo University Institute of Economics discussion paper series	(DE-627)1735209996			https://www.chukyo-u.ac.jp/research_2/cuie/img/discussionPdf/2103.pdf							
1779954522	m	2021	Frontier firms: four industry case studies			9781988519586	Lewis, Geoff	Garden, Sally|Shafiee, Hamed|Simmons, Geoff|Smith, Jo			[Wellington] : New Zealand Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/four-industry-case-studies/Frontier-firms-Four-industry-case-studies.pdf							
1779953739	m	2021	Benchmarking New Zealand's frontier firms			9781988519579	Zheng, Guanyu	Hoang Minh Duy|Pacheco, Gail			[Wellington] : New Zealand Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/benchmarking-new-zealands-frontier-firms/2d6a4cd0ea/Benchmarking-New-Zealands-frontier-firms.pdf							
1779953208	m	2021	Focused innovation policy: lessons from international experience			9781988519623	Crawford, Ron				[Wellington] : New Zealand Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/focused-innovation-policy/Focused-innovation-policy.pdf							
1779952783	m	2021	International migration to New Zealand : future opportunities and challenges			9781988519760					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/International-migration-to-NZ_future-opportunities-and-challenges.pdf							
1779952570	m	2021	Immigration policy : international perspectives			9781988519753					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/Immigration-policy_international-perspectives.pdf							
1779952406	m	2021	The wider wellbeing effects of immigration			9781988519746					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/The-wider-wellbeing-effects-of-immigration.pdf							
1779952147	m	2021	Impacts of immigration on the labour market and productivity			9781988519708					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/Impacts-of-immigration-on-the-labour-market-and-productivity.pdf							
1779951930	m	2021	International migration to New Zealand : historical themes & trends			9781988519692					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/International-migration-to-NZ_historical-themes-and-trends.pdf							
1779951345	m	2021	Primer to New Zealand's immigration system			9781988519739					Wellington, New Zealand : Productivity Commission	eng			Working paper$nNew Zealand Productivity Commission	(DE-627)1735209996			https://www.productivity.govt.nz/assets/Documents/Primer-to-New-Zealands-immigration-system.pdf							
1779921268	m	2021	Tematiche istituzionali : Banca d'Italia e Tesoreria dello Stato: vicende storiche, riforme e prospettive					Ferro, Pasqale			Roma, Italia : Banca d'Italia	ita		Terza edizione		(DE-627)1735209996			https://www.bancaditalia.it/pubblicazioni/tematiche-istituzionali/2021-tesoreria/Tem-Istituzionali-TESORERIA-aprile-2021.pdf							
177892963X	m	2021	Beneath the surface: technology-driven systemic risks and the continued need for innovation								[Cologny/Geneva, Switzerland] : World Economic Forum	eng			Future of Financial Services	(DE-627)1735209996			https://www3.weforum.org/docs/WEF_Technology_Innovation_and_Systemic_Risk_2021.pdf							
1778905544	m	2021	Tweedeling tussen arm en rijk in de ouderenzorg				Delsen, Lei				[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement	dut			Netspar academic series. DP	(DE-627)1735209996			https://www.netspar.nl/assets/uploads/P20211015_DP024_Delsen.pdf							
1778904157	m	2021	Minimum values of the second largest Q-eigenvalue				Aouchiche, Mustapha	El Hallaoui, Issmail			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-54/view							
1778902537	m	2021	On the Geršgorin discs of distance matrices of graphs				Aouchiche, Mustapha	Rather, Bilal A.|El Hallaoui, Issmail			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-57/view							
1778901999	m	2021	Robust optimization for lot-sizing problems under yield uncertainty				Metzker, Paula	Thevenin, Simon|Adulyasak, Yossiri|Dolgui, Alexandre			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/papers/G-2021-59/view							
1778873529	m	2021	Incomes in Northern Ireland - a decade of change				Mac Flynn, Paul				Dublin, Ireland : Nevin Economic Research Institute	eng			NERI report series	(DE-627)1735209996			https://www.nerinstitute.net/sites/default/files/research/2021/NERI-Report-Series-no11-Incomes-in-Northern-Ireland-A-decade-of-change-Nov-21.pdf							
1778214770	m	2021	Gender in peacebuilding : local practices in Indonesia and Nigeria			9789004498471		Prügl, Elisabeth|Rigual, Christelle|Kunz, Rahel|Achakpa, Mimidoo|Myrttinen, Henri|Onyesoh, Joy|Rahmawati, Arifah|Udasmoro, Wening			Leiden : Brill Nijhoff	eng			International development policy	(DE-627)1735209996			https://brill.com/downloadpdf/title/61121					Gender, age, class, ethnicity, religion, and political ideologies all matter in peacebuilding. Adopting a feminist approach, the 13th volume of International Development Policy analyses such intersecting differences in local contexts to develop a better understanding of how intersectionally gendered dynamics shape and are shaped by peacebuilding. In this volume, findings are presented from a six-year collaborative research project that, involving scholars from Indonesia, Nigeria, and Switzerland, investigated peacebuilding initiatives in Indonesia and Nigeria. The authors identify a number of logics that highlight how gender is deployed strategically or asserts itself inadvertently through gender stereotypes, gendered divisions of labour, or identity constructions.		
1777917824	m	2021	Robust hedging of terminal wealth under interest rate risk and inflation risk				Balter, Anne	Coumans, Lieske|Jong, Frank de			[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement	eng		This version: November 9, 2021	Netspar academic series. DP	(DE-627)1735209996			https://www.netspar.nl/assets/uploads/P20211109_DP023_Balter.pdf							
1777917263	m	2021	Early retirement of employees in demanding jobs : evidence from a German pension reform				Geyer, Johannes	Lorenz, Svenja|Zwick, Thomas|Bruns, Mona			[Tilburg] : Netspar, Network for Studies on Pensions, Aging and Retirement	eng			Netspar academic series. DP	(DE-627)1735209996			https://www.netspar.nl/assets/uploads/P20211115_DP022_Geyer.pdf							
1777916143	m	2021	A dual bounding framework for binary quadratic combinatorial optimization				Bayani, Mahdis	Rostami, Borzou|Adulyasak, Yossiri|Rousseau, Louis-Martin			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/publications/papers/G-2021-43/view							
1777915872	m	2021	Batch reinforcement learning for network-safe demand response in unknown electric grids				Lesage-Landry, Antoine	Callaway, Duncan S.			Montréal (Québec), Canada : GERAD, HÉC Montréal	eng			Les cahiers du GERAD	(DE-627)1735209996			https://www.gerad.ca/fr/publications/papers/G-2021-55/view							
177733604X	c	2021	KAPSARC oil market outlook	2021								eng				(DE-627)1735209996		(DE-627)1760237132|(DE-600)3067312-4	https://www.kapsarc.org/file-download.php?i=80144&m=o|https://www.kapsarc.org/file-download.php?i=84071&m=o|https://www.kapsarc.org/file-download.php?i=93682&m=o|https://www.kapsarc.org/file-download.php?i=103984&m=o 							
1777331358	c	2021	Hong Kong poverty situation report ...	2020								eng				(DE-627)1735209996		(DE-627)1764944151|(DE-600)3078213-2	https://www.censtatd.gov.hk/en/data/stat_report/product/B9XX0005/att/B9XX0005E2020AN20E0100.pdf							
1777330823	c	2021	The ... business trade and services survey	2020								tha|eng				(DE-627)1735209996		(DE-627)87346222X|(DE-576)480400857|(DE-600)2876322-1	http://www.nso.go.th/sites/2014en/Survey/economics/Trade%20and%20Price/2020/fullreport20.pdf							
1777328071	c	2021	Trends & Analysen Großhandel	2021								ger				(DE-627)1735209996		(DE-627)1703455037|(DE-600)3029246-3	https://www.bga.de/fileadmin/user_upload/Publikationen/Geschaeftsbericht/Positionspapiere_Volkswirtschaft_Finanzen/TrendsundAnalysen_1_2021.pdf|https://www.bga.de/fileadmin/user_upload/Publikationen/Geschaeftsbericht/Positionspapiere_Volkswirtschaft_Finanzen/TrendsundAnalysen_2021_2.pdf							
1777246970	m	2021	Climate justice, from top to bottom				Laurent, Éloi				Paris : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-24.pdf							
1776304470	m	2021	Electricity price distributions in future renewables-dominant power grids and policy implications				Mallapragada, Dharik S.	Junge, Cristian|Wang, Cathy Xun|Pfeifenberger, Hannes|Joskow, Paul L.|Schmalensee, Richard			Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research	eng			Working paper series / MIT Center for Energy and Environmental Policy Research	(DE-627)1735209996			http://ceepr.mit.edu/files/papers/2021-017.pdf							
1776303644	m	2021	Populist attitudes, fiscal illusion and fiscal preferences: evidence from Dutch households				Parlevliet, Jante	Giuliodori, Massimo|Rooduijn, Matthijs			Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/uwkldwa4/working_paper_no-_731.pdf							
1776303350	m	2021	Flood risk and financial stability: evidence from a stress test for the Netherlands				Caloia, Francesco	Jansen, David-Jan			Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/st5psfvb/working_paper_no-_730.pdf							
1776301900	m	2021	Operations Research for planning and managing city logistics systems				Crainic, Teodor Gabriel	Gonzalez-Feliu, Jesus|Ricciardi, Nicoletta|Semet, Frédéric|Van Woensel, Tom			Montréal (Québec) : Bureau de Montreal, Université de Montreal	eng			CIRRELT	(DE-627)1735209996			https://www.cirrelt.ca/documentstravail/cirrelt-2021-45.pdf							
1775880133	m	2021	Advancing international cooperation under the Paris Agreement: issues and options for Article 6				Mehling, Michael				Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research	eng			Working paper series / MIT Center for Energy and Environmental Policy Research	(DE-627)1735209996			http://ceepr.mit.edu/files/papers/2021-016.pdf							
1775879895	m	2021	Technology adoption and early network infrastructurevprovision in the market for electric vehicles				Delacrétaz, Nathan	Lanz, Bruno|Dijk, Jeremy van			Cambridge, MA, USA : MIT Center for Energy and Environmental Policy Research	eng		This version: September 2021	Working paper series / MIT Center for Energy and Environmental Policy Research	(DE-627)1735209996			http://ceepr.mit.edu/files/papers/2021-015.pdf							
177586894X	m	2021	Pension fund equity performance: herding does not pay off				Bonetti, Matteo				Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/ucdhd1m4/working_paper_no-_729.pdf							
1775868281	m	2021	Not all data are created equal - data sharing and privacy				Bijlsma, Michiel J.	Cruijsen, Carin van der|Jonker, Nicole			Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/ynair01w/working_paper_no-_728.pdf							
1775866742	m	2021	Recourse and (strategic) mortgage defaults: evidence from changes in  housing market laws				Andrieş, Alin Marius	Copaciu, Anca|Popa, Radu|Vlahu, Razvan			Amsterdam, The Netherlands : De Nederlandsche Bank NV	eng			Working paper / De Nederlandsche Bank NV	(DE-627)1735209996			https://www.dnb.nl/media/4rknsp5v/working_paper_no-_727.pdf							
1775863867	m	2021	Mathematical formulations for multi-period network design with modular capacity adjustments				Almeida, Warley	Sanjay, Silva|Jena, Dominik|Jeswani, Karan			Montréal (Québec) : Bureau de Montreal, Université de Montreal	eng			CIRRELT	(DE-627)1735209996			https://www.cirrelt.ca/documentstravail/cirrelt-2021-43.pdf							
1771796960	m	2021	International trade and technological competition in markets with dynamic increasing returns				Fontanelli, Luca	Guerini, Mattia|Napoletano, Mauro			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-21.pdf							
1771796928	m	2021	Who stays and who leaves? : immigration and the selection of natives across locations				Ortega, Javier	Verdugo, Gregory			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-20.pdf							
1771796871	m	2021	An agent-based model of trickle-up growth and income inequality				Palagi, Elisa	Napoletano, Mauro|Roventini, Andrea|Gaffard, Jean-Luc			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-19.pdf							
1771796812	m	2021	Dating business cycles in France : a reference chronology				Aviat, Antonin	Bec, Frédérique|Diebolt, Claude|Doz, Catherine|Ferrand, Denis|Ferrara, Laurent|Heyer, Eric|Mignon, Valérie|Pionnier, Pierre-Alain			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-18.pdf							
1771796723	m	2021	Théorie économique et philosophie de la mesure				Gaffard, Jean-Luc				Paris, France : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-22.pdf|http://www.ofce.sciences-po.fr/pdf/dtravail/WP2021-22.pdf							
1771796626	m	2021	Reclassement des salariés licenciés économiques : velléités et bonnes pratiques				Coquet, Bruno				Paris, France : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-16.pdf							
1769723706	m	2021	Construire une protection sociale écologique : le cas de la Frace face aux canicules				Laurent, Éloi				Paris : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.fr/pdf/dtravail/OFCEWP2021-17.pdf							
1760775525	m	2021	Innovation in Malmö after the Öresund Bridge				Ejermo, Olof	Hussinger, Katrin|Kalash, Basheer|Schubert, Torben			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-15.pdf							
176077443X	m	2021	"Mission-oriented policies and the ""entrepreneurial state"" at work : an agent-based exploration"				Dosi, Giovanni	Lamperti, Francesco|Mazzucato, Mariana|Napoletano, Mauro|Roventini, Andrea			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-14.pdf							
1760773506	m	2021	Bayesian local projections				Miranda-Agrippino, Silvia	Ricco, Giovanni			Paris, France : OFCE	eng		Revised: April 26, 2021	Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-13.pdf							
1760772089	m	2021	Assessing the economic impact of lockdowns in Italy : a computational input-output approach				Reissl, Severin	Caiani, Alessandro|Lamperti, Francesco|Guerini, Mattia|Vanni, Fabio|Fagiolo, Giorgio|Ferraresi, Tommaso|Ghezzi, Leonardo|Napoletano, Mauro|Roventini, Andrea			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-11.pdf							
1760770620	m	2021	The dispersion of mark-ups in an open economy				Auray, Stéphane	Eyquem, Aurélien			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-10.pdf							
1760770345	m	2021	The global transmission of U.S. monetary policy				Degasperi, Riccardo	Hong, Seokki Simon|Ricco, Giovanni			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-09.pdf							
1760770078	m	2021	The anatomy of government bond yields synchronization in the Eurozone				Barbieri, Claudio	Guerini, Mattia|Napoletano, Mauro			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-08.pdf							
1760769878	m	2021	Establishing a fiscal dialogue in Europe				Creel, Jérôme				Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-07.pdf							
1760769681	m	2021	Can parental leave be shared?				Périvier, Hélène	Verdugo, Gregory			Paris, France : OFCE	eng			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-06.pdf							
1757868763	m	2021	Les effets des réformes des dépenses sociales et fiscales consacrées aux enfants depuis 2008 : une évaluation à l'aide de la microsimulation				Madec, Pierre	Rioux, Laurence			Paris, France : OFCE	fre			Sciences Po OFCE working paper	(DE-627)1735209996			https://www.ofce.sciences-po.fr/pdf/dtravail/OFCEWP2021-12.pdf							
