identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.primary	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	url	description.abstract
1727609018	b	2020	Impact of economic competitiveness on Indian and Chinese production development				Saini, Manishkumar		10.20472/BM.2020.8.1.007			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25643?download=7	
1727607007	b	2020	Economic policy recommendations during the coronavirus pandemic in the Czech Republic				Sevcik, Miroslav	Zubikova, Adela|Klement, Josef|Kozak, Jan|Zeman, Martin|Smolak, Pavel|Lejsek, Tomas|Simunek, Lubor|Vesela, Kristyna	10.20472/BM.2020.8.1.008			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25677?download=8	
1727605314	b	2020	Serbia and the Czech Republic : comparison of railway infrastructure				Mitwallyová, Helena	Janković, Vukica	10.20472/BM.2020.8.1.006			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25577?download=6	
1727604393	b	2020	Air-transportation, tourism and economic growth interactions in Sri Lanka : cointegration and causality analysis				Madurapperuma, Wasanth	Higgoda, Ruwan	10.20472/BM.2020.8.1.005			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25658?download=5	
1727603176	b	2020	To what extent household members influence the purchasing decisions of facebook users in case of selected products? : new Facebook ads tool consideration				Lupa-Wójcik, Iwona		10.20472/BM.2020.8.1.004			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-23111?download=4	
172760184X	b	2020	The location of superstores in Italy : a metric approach				Leogrande, Angelo	Massaro, Alessandro|Galiano, Maurizio	10.20472/BM.2020.8.1.003			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25583?download=3	
172759746X	b	2020	When the art of macroeconomic management confronts the evolution of business cycles : zooming into the Egyptian case				Hussein, Nouran	Fouad, Jasmin	10.20472/BM.2020.8.1.002			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25650?download=2	
1727595130	b	2020	COVID-19 : the economic outlook, impact, authorities and long termn strategies of Nepal				Adhikari, Udaya Raj		10.20472/BM.2020.8.1.001			eng					International journal of business & management	(DE-627)815868162|(DE-600)2807300-9|(DE-576)425476138	https://www.iises.net/international-journal-of-business-management/publication-detail-25657?download=1	
1727502302	m	2020	Local civil regimes for combating child poverty: insights from the Austrian and Belgian corporatist welfare states			9782931051405	Schinnerl, Melanie	Greiling, Dorothea	10.25518/ciriec.wp202010		Liège (Belgium) : CIRIEC International, Université de Liège	eng			Working paper / CIRIEC	(DE-627)635679337|(DE-576)330694103|(DE-600)2575017-3			http://www.ciriec.uliege.be/wp-content/uploads/2020/08/WP2020-10.pdf	
1728087392	b	2019	Prevention in dental medicine : case studies and explanations regarding the cost-benefit ratio				Ungureanu, Sorin Alexandru	Mândricel, Diana Andreea|Coculescu, Bogdan Ioan|Oncioiu, Ionica				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_338.pdf	
1728087074	b	2019	Analysis of cyclicality in the Azerbaijan economy : results of the Chi-Square test				Niftiyev, Ibrahim	Namazova, Natavan				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_337.pdf	
1728086671	b	2019	Fiscal cost management : means of using financial and accounting information				Florea, Cristian Florian					eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_336.pdf	
1728086329	b	2019	What role does health play in enhancing labour productivity in Nigeria?				Remi, Rolle Ahuru	Daniel, Osaze|Efegbere, Henry Akpojubaro				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_335.pdf	
1728085667	b	2019	Game theory and its application in international trade : use of strategic games in trade policy				Mughwai, Vincent Lissu					eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_334.pdf	
1728085241	b	2019	Work-life balance and employee performance in selected insurance companies in Lagos State				Anyim, Francis C.	Shadare, Oluseyi A.|Adio, Lateef A.				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_333.pdf	
1728084865	b	2019	Effects of risk culture and appetite on effective risk management in Nigerian banks : case study of United Bank for Africa Plc				Yusuf, Ismaila Akanni	Amadi, Agatha Nkem|Salaudeen, Mohammed Bashir				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_332.pdf	
1728083729	b	2019	Underwriting capacity and financial performance on non-life insurance companies in Nigeria				Oyetayo, Y. A.	Abass, O. A.				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_331.pdf	
1728083184	b	2019	The effect of transformational leadership and competence on employee performance with job satisfaction as intervening variable				Edward, Yusuf Ronny	Kaban, Lila Maria				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_330.pdf	
1728082641	b	2019	Selecting subject matter experts in job and work analysis surveys : advantages and disadvantages				Manea, Alexandru Ioan					eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_329.pdf	
1728082129	b	2019	Institutional base and infrastructure development for non-cash payments in Azerbaijan				Bakhshiyev, Murad	Babashli, Vugar|Nabatov, Elsun|Hasanli, Huseyn|Gadirova, Aisha				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_328.pdf	
1728081610	b	2019	Econometric analysis to examine the relationship between unemployment and macroeconomics aggregates : evidence from Kosovo				Ziberi, Besime	Avdiu, Merita				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_327.pdf	
1728081246	b	2019	Economic efficiency of farm size, fertilizer, and improve seeds on rice production in Kano State, Nigeria				Tanko, Yusuf	Yong Kang Cheah|Rabiul Islam				eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_326.pdf	
1728079624	b	2019	An investigation on the influence of taxation on economic growth in Nigeria				Adegbite, Tajudeen Adejare					eng					Academic journal of economic studies	(DE-627)826651216|(DE-600)2822728-1|(DE-576)433308001	http://www.ajes.ro/wp-content/uploads/AJES_article_1_325.pdf	
1727999959	b	2019	A quantitative analysis of energy security performance by Brazil, Russia, India, China, and South Africa in 1990-2015				Bogoviz, Aleksei Valentinovich	Ragulina, Yulia Vyacheslavovna|Lobova, Svetlana V.|Alekseev, Alexander N.	10.32479/ijeep.7585			eng					International Journal of Energy Economics and Policy	(DE-627)670216917|(DE-600)2632577-9|(DE-576)352346841	http://econjournals.com/index.php/ijeep/article/download/7585/4334	
1727998618	b	2019	"Is there a ""Reverse Causality"" from nominal financial variables to energy prices?"				Santillán Salgado, Roberto Joaquín	Aali-Bujari, Alí|Venegas-Martínez, Francisco	10.32479/ijeep.7526			eng					International Journal of Energy Economics and Policy	(DE-627)670216917|(DE-600)2632577-9|(DE-576)352346841	http://econjournals.com/index.php/ijeep/article/download/7526/4333	
1727995805	b	2019	Can a green tax reform entail employment double dividend in European and non-European countries? : a survey of the empirical evidence				Maxim, Maruf Rahman	Zander, Kerstin Katharina	10.32479/ijeep.7578			eng					International Journal of Energy Economics and Policy	(DE-627)670216917|(DE-600)2632577-9|(DE-576)352346841	http://econjournals.com/index.php/ijeep/article/download/7578/4332	
