identifier.ppn	type	date.issued	title	part	title.alternative	identifier.isbn	contributor.author	contributor.other	identifier.pi	rights	publisher	language.iso	subject.jel	description.version	seriesname	relation.ispartofseries	journalname	relation.ispartof	identifier.url	seriesNo	repecFulltextUrl	description.abstract
1668809060	m	2019	Fighting mobile crime				Crinò, Rosario	Immordino, Giovanni|Piccolo, Salvatore			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13424|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13424	13424	https://repec.cepr.org/repec/cpr/ceprdp/DP13424.pdf	
1668810158	m	2019	Folklore				Michalopoulos, Stylianos	Xue, Melanie Meng			London : Centre for Economic Policy Research	eng		Revision	Discussion paper series / Centre for Economic Policy Research. Development economics, economic history and macroeconomics and growth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13425|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13425	13425	https://repec.cepr.org/repec/cpr/ceprdp/DP13425.pdf	
1668811014	m	2019	New testing approaches for mean-variance predictability				Fiorentini, Gabriele	Sentana, Enrique			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13426|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13426	13426	https://repec.cepr.org/repec/cpr/ceprdp/DP13426.pdf	
1671046315	m	2019	The granular nature of large institutional investors				Franzoni, Francesco	Ben-David, Itzhak|Moussawi, Rabih|Sedunov, John			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13427|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13427	13427	https://repec.cepr.org/repec/cpr/ceprdp/DP13427.pdf	
1671046714	m	2019	The fall in UK potential output due to the financial crisis : a much bigger estimate				Crafts, Nicholas				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Economic history and macroeconomics and growth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13428|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13428	13428	https://repec.cepr.org/repec/cpr/ceprdp/DP13428.pdf	
1671079779	m	2019	The origins of firm heterogeneity : a production network approach				Bernard, Andrew B.	Dhyne, Emmanuel|Magerman, Glenn|Manova, Kalina|Moxnes, Andreas			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Industrial organization, international trade and regional economics and macroeconomics and rowth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13429|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13429	13429	https://repec.cepr.org/repec/cpr/ceprdp/DP13429.pdf	
1671080408	m	2019	Modified causal forests for estimating heterogeneous causal effects				Lechner, Michael				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Labour economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13430|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13430	13430	https://repec.cepr.org/repec/cpr/ceprdp/DP13430.pdf	
1671080955	m	2019	Scaring or scarring? : labour market effects of criminal victimisation				Ketel, Nadine	Bindler, Anna			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Labour economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13431|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13431	13431	https://repec.cepr.org/repec/cpr/ceprdp/DP13431.pdf	
1671081714	m	2019	The fiscal theory of the price level in overlapping generations models				Farmer, Roger E. A.	Zabczyk, Pawel			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13432|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13432	13432	https://repec.cepr.org/repec/cpr/ceprdp/DP13432.pdf	
1671048202	m	2019	Heterogeneity, measurement error, and misallocation : evidence from african agriculture				Gollin, Douglas	Udry, Christopher			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Development economics and macroeconomics and growth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13433|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13433	13433	https://repec.cepr.org/repec/cpr/ceprdp/DP13433.pdf	
1671082435	m	2019	From microeconomic favoritism to macroeconomic populism				Saint-Paul, Gilles				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Macroeconomics and growth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13434|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13434	13434	https://repec.cepr.org/repec/cpr/ceprdp/DP13434.pdf	
1671049365	m	2019	Global price of risk and stabilization policies				Adrian, Tobias	Vogt, Erik|Stackman, Daniel			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13435|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13435	13435	https://repec.cepr.org/repec/cpr/ceprdp/DP13435.pdf	
1671050193	m	2019	Where is the middle class? : inequality, gender and the shape of the upper tail from 60 million english death and probate records, 1892-2016				Cummins, Neil				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Economic history	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13436|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13436	13436	https://repec.cepr.org/repec/cpr/ceprdp/DP13436.pdf	
1671056892	m	2019	Bite and divide : malaria and ethnolinguistic diversity				Cervellati, Matteo	Chiovelli, Giorgio|Esposito, Elena			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Macroeconomics and growth	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13437|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13437	13437	https://repec.cepr.org/repec/cpr/ceprdp/DP13437.pdf	
1671083091	m	2019	The long-run information effect of central bank communication				Hansen, Stephen	McMahon, Michael|Tong, Matthew			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13438|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13438	13438	https://repec.cepr.org/repec/cpr/ceprdp/DP13438.pdf	
1671058941	m	2019	Was Brexit triggered by the old and unhappy? : or by financial feelings?				Liberini, Federica	Oswald, Andrew J.|Proto, Eugenio|Redoano, Michela			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13439|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13439	13439	https://repec.cepr.org/repec/cpr/ceprdp/DP13439.pdf	
1671059891	m	2019	The economic effects of density : a synthesis				Ahlfeldt, Gabriel M.	Pietrostefani, Elisabetta			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13440|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13440	13440	https://repec.cepr.org/repec/cpr/ceprdp/DP13440.pdf	
1671060350	m	2019	Strategic interpretations				Eliaz, Kfir	Spiegler, Ran|Thysen, Heidi C			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13441|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13441	13441	https://repec.cepr.org/repec/cpr/ceprdp/DP13441.pdf	
1671060806	m	2019	Search frictions in international good markets				Lenoir, Clemence	Martin, Julien|Méjean, Isabelle			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13442|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13442	13442	https://repec.cepr.org/repec/cpr/ceprdp/DP13442.pdf	
1671061535	m	2019	Using RCTs to estimate long-run impacts in development economics				Bougen, Adrien	Huang, Yue|Kremer, Michael|Miguel, Edward			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Development economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13443|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13443	13443	https://repec.cepr.org/repec/cpr/ceprdp/DP13443.pdf	
1671063430	m	2019	Booms and busts with dispersed information				Benhima, Kenza				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13444|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13444	13444	https://repec.cepr.org/repec/cpr/ceprdp/DP13444.pdf	
1671083741	m	2019	New characteristics and hedonic price index numbers				Crawford, Ian	Neary, J. Peter			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13445|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13445	13445	https://repec.cepr.org/repec/cpr/ceprdp/DP13445.pdf	
1671065360	m	2019	Renegotiation of trade agreements and firm exporting decisions : evidence from the impact of Brexit on UK exports				Crowley, Meredith A.	Exton, Oliver|Han, Lu			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13446|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13446	13446	https://repec.cepr.org/repec/cpr/ceprdp/DP13446.pdf	
1671066588	m	2019	How fast is this novel technology going to be a hit?				Veugelers, Reinhilde	Pezzoni, Michele|Visentin, Fabiana			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Industrial organization	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13447|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13447	13447	https://repec.cepr.org/repec/cpr/ceprdp/DP13447.pdf	
1671069854	m	2019	"Canadian legalization of cannabis reduces both its cash usage and ""black"" economy"				Goodhart, Charles A. E.	Ashworth, Jonathan			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13448|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13448	13448	https://repec.cepr.org/repec/cpr/ceprdp/DP13448.pdf	
1671074416	m	2019	The generation gap in direct democracy				Ahlfeldt, Gabriel M.	Maennig, Wolfgang|Müller, Steffen			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13449|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13449	13449	https://repec.cepr.org/repec/cpr/ceprdp/DP13449.pdf	
1671075897	m	2019	The origins and effects of macroeconomic uncertainty				Bianchi, Francesco	Kung, Howard|Tirskikh, Mikhail			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics and monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13450|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13450	13450	https://repec.cepr.org/repec/cpr/ceprdp/DP13450.pdf	
1671084381	m	2019	Mothers' care : reversing early childhood health shocks through parental investments				Bellés-Obrero, Cristina	Cabrales, Antonio|Jiménez-Martín, Sergi|Vall Castello, Judit			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Labour economics and public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13451|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13451	13451	https://repec.cepr.org/repec/cpr/ceprdp/DP13451.pdf	
1671077547	m	2019	Has the U.S. wage Phillips curve flattened? : a semi-structural exploration				Galí, Jordi	Gambetti, Luca			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13452|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13452	13452	https://repec.cepr.org/repec/cpr/ceprdp/DP13452.pdf	
1671388895	m	2019	China vs. U.S. : IMS meets IPS				Maggiori, Matteo	Farhi, Emmanuel			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics, international macroeconomics and finance, international trade and regional economics and monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/download.php?dpno=13453|https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13453	13453	https://repec.cepr.org/repec/cpr/ceprdp/DP13453.pdf	
1671393287	m	2019	Volatility, valuation ratios, and bubbles : an empirical measure of market sentiment				Martin, Ian	Gao, Can			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics and monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13454|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13454	13454	https://repec.cepr.org/repec/cpr/ceprdp/DP13454.pdf	
1671395891	m	2019	Measuring global real economic activity : do recent critiques hold up to scrutiny?				Kilian, Lutz				London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International macroeconomics and finance	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13455|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13455	13455	https://repec.cepr.org/repec/cpr/ceprdp/DP13455.pdf	
1671397401	m	2019	Banks' systemic risk and monetary policy				Faia, Ester	Karau, Soeren			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics, international macroeconomics and finance and monetary economics and fluctuations	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13456|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13456	13456	https://repec.cepr.org/repec/cpr/ceprdp/DP13456.pdf	
1671399196	m	2019	Markets for financial innovation				Babus, Ana	Hachem, Kinda			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13457|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13457	13457	https://repec.cepr.org/repec/cpr/ceprdp/DP13457.pdf	
1671403282	m	2019	Disclosure regulation and corporate acquisitions				Ormazabal, Gaizka	Bonetti, Pietro|Duro, Miguel			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Financial economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13458|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13458	13458	https://repec.cepr.org/repec/cpr/ceprdp/DP13458.pdf	
1671407628	m	2019	Aggregation and the gravity equation				Redding, Stephen	Weinstein, David E.			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International trade and regional economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13459|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13459	13459	https://repec.cepr.org/repec/cpr/ceprdp/DP13459.pdf	
1671410025	m	2019	Declared support and clientelism				Nichter, Simeon	Nunnari, Salvatore			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Development economics and public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13460|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13460	13460	https://repec.cepr.org/repec/cpr/ceprdp/DP13460.pdf	
1671418654	m	2019	Organizing competition for the market				Iossa, Elisabetta	Rey, Patrick|Waterson, Michael			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Industrial organization and public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13461|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13461	13461	https://repec.cepr.org/repec/cpr/ceprdp/DP13461.pdf	
1671420535	m	2019	Why are schools segregated? : evidence from the secondary-school match in Amsterdam				Oosterbeek, Hessel	Sóvágó, Sándor|Klaauw, Bas van der			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Labour economics and public economics	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13462|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13462	13462	https://repec.cepr.org/repec/cpr/ceprdp/DP13462.pdf	
1671639855	m	2019	Good carry, bad carry				Bekaert, Geert	Panayotov, George			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International macroeconomics and finance	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13463|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13463	13463	https://repec.cepr.org/repec/cpr/ceprdp/DP13463.pdf	
1671641442	m	2019	Currency factors				Aloosh, Arash	Bekaert, Geert			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. International macroeconomics and finance	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13464|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13464	13464	https://repec.cepr.org/repec/cpr/ceprdp/DP13464.pdf	
1671645499	m	2019	The trials of the trilemma : international finance 1870-2017				Esteves, Rui Pedro	Eichengreen, Barry			London : Centre for Economic Policy Research	eng			Discussion paper series / Centre for Economic Policy Research. Economic history and international macroeconomics and finance	(DE-627)32040868X|(DE-576)095551840|(DE-600)2001019-9			https://cepr.org/active/publications/discussion_papers/dp.php?dpno=13465|https://cepr.org/active/publications/discussion_papers/download.php?dpno=13465	13465	https://repec.cepr.org/repec/cpr/ceprdp/DP13465.pdf	
